"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-19",,,,,,,,,"1.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-20",,,,,,,,,"0.53",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-21",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-22",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-23",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-24",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-25",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-26",,,,,,,,,"0.08",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-27",,,,,,,,,"0.03",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-28",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-29",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-05-31",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-02",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-03",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-04",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-05",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-06",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-07",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-08",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-09",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-10",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-11",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-12",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-29",,,"   17",",,N","0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-06-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-07-10",,,"   10",",,N","0.00",",,N",,,,,,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-07-11",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-09-12",,,"   61",",L,N","0.00",",L,N",,,,,,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-09-13",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-09-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-09-16",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-09-17",,,,,,,,,"0.17",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-11-27",,,,,,,,,"0.45",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-11-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-12-01",,,,,,,,,"0.48",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-12-02",,,,,,,,,"1.70",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-12-03",,,,,,,,,"0.12",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-12-04",,,,,,,,,"0.13",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CASA0062","38.53327","-121.493212","7.0","2019-12-05",,,,,,,,,"0.42",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,
