zip,percent_pop_0_17,percent_pop_70_80,median_hh_income,pop_bucket
1005,0.217,0.031,70325,high_under_18
1008,0.151,0.097,62750,high_70_80
1009,0,0.177,59440,high_70_80
1011,0.207,0.049,75263,high_under_18
1012,0.181,0.051,70114,high_under_18
1027,0.155,0.063,63699,high_70_80
1029,0.143,0.08,50750,high_70_80
1031,0.169,0.054,41875,high_under_18
1038,0.147,0.134,67096,high_70_80
1039,0.118,0.068,80000,high_70_80
1053,0.164,0.049,62222,high_under_18
1062,0.215,0.049,73438,high_under_18
1066,0,1,0,high_70_80
1068,0.183,0.052,85938,high_under_18
1072,0.213,0.045,72000,high_under_18
1074,0.298,0,61603,high_under_18
1075,0.135,0.074,66681,high_70_80
1079,0.202,0.046,27105,high_under_18
1083,0.246,0.008,65547,high_under_18
1088,0.075,0.118,51406,high_70_80
1092,0.141,0.066,75799,high_70_80
1093,0.132,0.103,103750,high_70_80
1094,0.144,0.08,21250,high_70_80
1098,0.137,0.075,76563,high_70_80
1103,0.166,0.031,16720,high_under_18
1104,0.259,0.053,30053,high_under_18
1105,0.257,0.047,17569,high_under_18
1107,0.315,0.036,26772,high_under_18
1108,0.305,0.035,38499,high_under_18
1109,0.242,0.048,35191,high_under_18
1151,0.284,0.041,40360,high_under_18
1243,0.063,0.114,71979,high_70_80
1253,0.09,0.282,74554,high_70_80
1254,0.14,0.123,92083,high_70_80
1266,0.144,0.117,74107,high_70_80
1267,0.154,0.064,78068,high_70_80
1366,0.135,0.089,65529,high_70_80
1431,0.192,0.054,95833,high_under_18
1432,0.197,0.032,79750,high_under_18
1436,0.253,0.051,60156,high_under_18
1438,0.046,0.128,74142,high_70_80
1452,0.23,0.047,93387,high_under_18
1467,0.119,0.155,98036,high_70_80
1468,0.145,0.095,64872,high_70_80
1469,0.243,0.031,84489,high_under_18
1504,0.214,0.045,80260,high_under_18
1507,0.219,0.037,93921,high_under_18
1510,0.205,0.053,68362,high_under_18
1516,0.251,0.052,94531,high_under_18
1519,0.221,0.042,106250,high_under_18
1524,0.146,0.081,64135,high_70_80
1525,0.286,0,0,high_under_18
1529,0.243,0.034,90500,high_under_18
1531,0.23,0.053,84432,high_under_18
1534,0.21,0.05,89348,high_under_18
1540,0.234,0.051,68865,high_under_18
1543,0.259,0.052,100962,high_under_18
1550,0.215,0.054,50202,high_under_18
1560,0.279,0.045,85390,high_under_18
1568,0.263,0.047,119115,high_under_18
1569,0.226,0.046,94809,high_under_18
1571,0.216,0.048,64281,high_under_18
1581,0.265,0.048,107604,high_under_18
1583,0.13,0.056,73463,high_70_80
1590,0.249,0.043,101315,high_under_18
1603,0.21,0.051,42259,high_under_18
1604,0.229,0.044,50487,high_under_18
1605,0.24,0.048,37703,high_under_18
1607,0.201,0.047,43500,high_under_18
1608,0.237,0.049,20578,high_under_18
1609,0.125,0.06,42903,high_70_80
1610,0.184,0.029,31003,high_under_18
1611,0.187,0.054,81830,high_under_18
1612,0.183,0.054,95595,high_under_18
1702,0.22,0.042,52746,high_under_18
1718,0.27,0.043,160750,high_under_18
1719,0.207,0.039,101077,high_under_18
1731,0.444,0,93276,high_under_18
1740,0.279,0.041,151618,high_under_18
1746,0.262,0.054,118933,high_under_18
1747,0.242,0.049,101761,high_under_18
1748,0.281,0.038,151357,high_under_18
1756,0.243,0.046,125816,high_under_18
1757,0.235,0.048,75976,high_under_18
1835,0.23,0.045,77697,high_under_18
1841,0.266,0.034,38199,high_under_18
1843,0.264,0.038,46629,high_under_18
1845,0.238,0.05,105661,high_under_18
1850,0.288,0.033,46102,high_under_18
1851,0.229,0.049,52008,high_under_18
1852,0.218,0.05,50911,high_under_18
1854,0.199,0.038,40982,high_under_18
1879,0.21,0.025,101620,high_under_18
1887,0.221,0.045,118549,high_under_18
1902,0.252,0.046,42851,high_under_18
1904,0.21,0.05,88395,high_under_18
1905,0.268,0.034,57638,high_under_18
1908,0.131,0.076,81384,high_70_80
1929,0.238,0.053,109327,high_under_18
1970,0.175,0.053,65476,high_under_18
2019,0.219,0.043,95533,high_under_18
2038,0.258,0.049,111935,high_under_18
2045,0.126,0.099,80584,high_70_80
2048,0.247,0.045,111141,high_under_18
2052,0.302,0.051,153847,high_under_18
2053,0.252,0.047,115432,high_under_18
2054,0.211,0.054,100230,high_under_18
2056,0.228,0.053,139137,high_under_18
2067,0.276,0.051,133229,high_under_18
2071,0.173,0.05,115333,high_under_18
2093,0.253,0.045,107444,high_under_18
2108,0.135,0.065,126224,high_70_80
2109,0.068,0.059,129716,high_70_80
2110,0.088,0.142,108438,high_70_80
2116,0.072,0.068,103422,high_70_80
2121,0.269,0.048,27964,high_under_18
2122,0.206,0.04,56024,high_under_18
2125,0.192,0.039,53382,high_under_18
2128,0.206,0.036,52154,high_under_18
2129,0.18,0.035,103834,high_under_18
2131,0.211,0.043,72127,high_under_18
2136,0.236,0.048,64877,high_under_18
2145,0.164,0.037,68553,high_under_18
2148,0.189,0.05,62283,high_under_18
2149,0.237,0.045,57143,high_under_18
2150,0.264,0.032,51875,high_under_18
2170,0.136,0.056,82159,high_70_80
2171,0.132,0.07,78839,high_70_80
2189,0.192,0.046,58674,high_under_18
2199,0.064,0.095,82238,high_70_80
2301,0.265,0.045,47724,high_under_18
2302,0.244,0.049,63718,high_under_18
2338,0.208,0.054,77993,high_under_18
2341,0.196,0.051,96389,high_under_18
2451,0.158,0.063,94886,high_70_80
2452,0.118,0.063,87055,high_70_80
2458,0.213,0.053,103978,high_under_18
2460,0.257,0.054,118148,high_under_18
2462,0.189,0.043,104375,high_under_18
2464,0.193,0.039,102946,high_under_18
2466,0.201,0.048,115345,high_under_18
2472,0.157,0.056,92959,high_70_80
2703,0.23,0.049,70136,high_under_18
2715,0.237,0.047,98112,high_under_18
2725,0.133,0.089,70183,high_70_80
2746,0.283,0.048,32554,high_under_18
2747,0.156,0.06,75891,high_70_80
2760,0.24,0.053,85864,high_under_18
2763,0.256,0.048,106118,high_under_18
2769,0.211,0.052,96098,high_under_18
2779,0.236,0.052,89597,high_under_18
2791,0.115,0.061,74009,high_70_80
2802,0.293,0,51582,high_under_18
2809,0.145,0.073,65890,high_70_80
2812,0.293,0.054,123047,high_under_18
2814,0.203,0.044,93468,high_under_18
2830,0.22,0.044,67589,high_under_18
2831,0.243,0.044,91346,high_under_18
2838,0.245,0.044,60278,high_under_18
2840,0.154,0.072,65317,high_70_80
2858,0.065,0.072,0,high_70_80
2859,0.205,0.053,76146,high_under_18
2860,0.238,0.048,40455,high_under_18
2863,0.29,0.025,30794,high_under_18
2872,0,0.067,0,high_70_80
2873,0.191,0,73991,high_under_18
2874,0.288,0.045,133655,high_under_18
2875,0.278,0.029,100673,high_under_18
2876,0.283,0,21667,high_under_18
2882,0.102,0.108,65385,high_70_80
2892,0.19,0.048,94176,high_under_18
2895,0.214,0.051,38340,high_under_18
2903,0.047,0.064,30711,high_70_80
2905,0.238,0.045,41050,high_under_18
2907,0.271,0.036,35512,high_under_18
2908,0.234,0.034,45042,high_under_18
2909,0.27,0.029,33661,high_under_18
2910,0.232,0.042,62941,high_under_18
2911,0.174,0.048,57019,high_under_18
2914,0.18,0.054,47985,high_under_18
2915,0.157,0.062,59301,high_70_80
2917,0.149,0.074,83010,high_70_80
5260,0.163,0.048,85625,high_under_18
6002,0.143,0.085,73593,high_70_80
6016,0.236,0.054,81923,high_under_18
6021,0.234,0.037,73000,high_under_18
6042,0.193,0.049,79106,high_under_18
6051,0.268,0.049,32556,high_under_18
6052,0.184,0.054,64955,high_under_18
6060,0.316,0.018,137464,high_under_18
6065,0.212,0.053,98194,high_under_18
6069,0.108,0.16,77083,high_70_80
6076,0.201,0.048,72500,high_under_18
6081,0.223,0.046,79559,high_under_18
6085,0.246,0.054,91563,high_under_18
6088,0.096,0.101,67375,high_70_80
6089,0.289,0.038,103625,high_under_18
6091,0.133,0.107,0,high_70_80
6098,0.155,0.072,60248,high_70_80
6105,0.176,0.052,32126,high_under_18
6106,0.238,0.053,32550,high_under_18
6108,0.238,0.045,50361,high_under_18
